objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
Risk: The Lord of the Rings Trilogy Edition,8107,0,,0,0,0,0,0,0,1,0,0,1,,,,,,8529240,6.09666,6.48766,2.3475,1884,6611,thing,Risk: The Lord of the Rings Trilogy Edition,2,4,180,180,180,2003,"2,3,4",4,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Riverboat,227515,0,,0,1,0,0,0,0,0,0,0,4,Highly rated by limited GeekBuddy set.,,,,,58261642,6.49903,7.50666,2.8667,948,1800,thing,Riverboat,2,4,90,90,90,2017,"2,3,4",4,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Robo Rally,216201,9,3,0,1,0,0,0,0,0,0,0,4,,,,,,40833094,6.3283,7.10086,2.2,1267,3601,thing,Robo Rally,2,6,120,120,20,2016,"3,4,5,6",4,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
RoboRally,18,9,48,0,1,0,0,0,0,0,0,0,1,,"Controlled chaos.  The game mechanics and interaction between players is fun.  Limitless game boards can be downloaded online and customizing your game type (e.g., race, team capture the flag, deathmatch, etc...) give this game flexibility.",,,,8501011,6.9707,7.097,2.4311,388,24964,thing,RoboRally,2,8,120,120,45,1994,"3,4,5,6,7,8","5,6",10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,Wizards of the Coast,English,1994,Wizards of the Coast first edition
Rocketville,21239,0,,0,0,0,0,0,0,0,0,0,1,,"Box has structural damage, but components are fine.",,,,8567635,5.37007,5.07059,1.5882,17648,1163,thing,Rocketville,3,5,45,45,45,2006,"3,4,5",5,6+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Rococo,144344,8,3,0,1,0,0,0,0,0,0,0,2,requested from family for birthday,,,,,31997775,7.23043,7.58444,3.0981,206,7674,thing,Rococo,2,5,120,120,60,2013,"2,3,4,5",3,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,Eagle-Gryphon Games; eggertspiele,English,2013,English-only first edition
Roll for the Galaxy,132531,8,2,0,0,0,0,0,0,0,0,0,3,,Nice twist on a deck builder by swapping cards for dice.  Plays quick but still offers lots of tough decisions.  I like the mechanic of selecting which action you want to play after the dice are rolled while opponents do the same and only selected action dice are retained while the rest are sent back to the cup which adds a fun element of 'game theory'.,,,,27374584,7.56661,7.71278,2.7714,70,27831,thing,Roll for the Galaxy,2,5,45,45,45,2014,"2,3,4,5","3,4",12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Roll Through the Ages: The Bronze Age,37380,7,2,0,0,0,0,0,0,0,0,0,3,,,,,,11731801,6.73663,6.89054,1.78,643,12432,thing,Roll Through the Ages: The Bronze Age,1,4,45,45,30,2008,"1,2,3,4",2,8+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Root,237182,6.5,1,0,0,0,0,0,0,0,0,0,3,,,,,,64246959,7.75091,8.08767,3.5405,41,18561,thing,Root,2,4,90,90,60,2018,"3,4",4,12+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Rum & Bones: Second Tide,196202,7,1,0,0,0,0,0,0,0,0,0,3,,,,,,42239276,6.42166,7.77779,2.7273,1092,2724,thing,Rum & Bones: Second Tide,2,6,60,60,60,2017,"2,4",2,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Rummikub,811,6,1,0,0,0,0,0,0,0,0,0,3,,,,,,31594881,6.18357,6.33557,1.7624,1640,20540,thing,Rummikub,2,4,60,60,60,1977,"2,3,4",4,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Rune Age,94362,8,3,0,0,0,0,0,0,0,0,0,3,,,,,,16415802,6.45636,6.81551,2.2922,1023,5982,thing,Rune Age,2,4,60,60,20,2011,"1,2,3,4",4,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Russian Railroads,144733,6,1,0,0,0,0,0,0,0,0,0,3,,,,,,22406292,7.5631,7.79057,3.4201,71,13478,thing,Russian Railroads,2,4,120,120,90,2013,"2,3,4",4,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Saboteur,9220,6,13,0,1,0,0,0,0,0,0,0,4,,,,,,16552154,6.48711,6.59702,1.3295,977,33650,thing,Saboteur,3,10,30,30,30,2015,"5,6,7,8,9,10","7,8",8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,Mayfair Games,English,2015,Mayfair English edition 2015
Saboteur 2,91072,0,,0,1,0,0,0,0,0,0,0,4,,,,,,31643271,6.56273,6.98517,1.5279,0,10880,thing,Saboteur 2 (expansion-only editions),2,12,45,45,45,2015,"4,5,6,7,8,9,10","5,6,7,8",8+,No necessary in-game text,,,,,,expansion,,,,,,,,,,,,Mayfair Games,English,2015,English edition 2015
Sagrada,199561,6.5,3,0,1,0,0,0,0,0,0,0,4,Family/abstract.  High replayability per geek buddy comments.  Investigate more.,,,,,50911169,7.36868,7.55963,1.8972,134,26289,thing,Sagrada,1,4,45,45,30,2017,"1,2,3,4",2,8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Saint Petersburg,9217,6,7,0,1,0,0,0,0,0,0,0,3,,,,,,8073740,7.13673,7.31466,2.4699,260,11478,thing,Saint Petersburg,2,4,60,60,45,2004,"2,3,4",4,10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,Hans im Glück; Rio Grande Games,English,2004,Rio Grande English edition
Samurai Sword,128667,5.5,2,0,0,0,0,0,0,0,0,0,3,,,,,,23091660,6.27338,6.69552,1.7586,1400,4943,thing,Samurai Sword,3,7,40,40,20,2012,"5,6,7",7,8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
San Juan,8217,5,,0,0,0,0,0,0,0,0,0,3,,,,,,8073761,7.14529,7.27021,2.2899,253,22803,thing,San Juan,2,4,60,60,45,2004,"2,3,4",3,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Santa Maria,229220,7.5,1,0,1,0,0,0,0,0,0,0,4,Investigate more.  Worth owning?  Medium weight Euro.,,,,,55482239,7.03978,7.59323,3.0368,319,5076,thing,Santa Maria,1,4,90,90,45,2017,"1,2,3,4",3,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Santorini,194655,10,57,0,1,0,0,0,0,0,0,0,2,,,,,,39195766,7.42436,7.59805,1.7387,110,32835,thing,Santorini,2,4,20,20,20,2017,"2,3,4",2,6+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,Spin Master Ltd.,English,2017,Spin Master English edition
Santorini: Golden Fleece,216033,0,,0,1,0,0,0,0,0,0,0,2,,,,,,44781802,6.33928,7.8808,1.9091,0,5260,thing,Santorini: Golden Fleece,2,4,20,0,20,2017,2,2,6+,No necessary in-game text,,,,,,expansion,,,,,,,,,,,,,,,
Scalawag!,140600,6.5,1,0,0,0,0,0,0,0,0,0,3,,,,,,22933292,5.52835,6.11677,1.5714,11381,228,thing,Scalawag!,3,8,40,40,15,2014,"4,5,6","5,6",12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Scattergories,2381,4,,0,0,0,0,0,0,0,0,0,3,,,,,,8105503,5.99705,6.1605,1.4,2276,13605,thing,Scattergories,2,6,30,30,30,1988,"2,3,4,5,6","4,5,6",10+,Unplayable in another language,,,,,,standalone,,,,,,,,,,,,,,,
Scythe,169786,7,4,0,0,0,0,0,0,0,0,0,4,wait for kickstarter release and then view comments on what people think of production copy,,,,,31077841,8.10716,8.27154,3.3763,10,57166,thing,Scythe,1,5,115,115,90,2016,"1,2,3,4,5",4,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
SeaFall,148261,4,15,0,0,0,0,0,0,0,0,0,3,,"Started out strong but drug on mightily at the end with no mechanism or incentive for losers to continue to play.  Very swingy and random.  Dominant strategy.  Rules are poorly written causing heavy confusion.  Late game forces players to make assumptions/leaps about what to do following detailed explicit instructions up to that point.  Overall: great concept, short on execution.  Regret my 15 session campaign which our group finally pulled the rip cord on because it hadn't been fun since about game 6.",,,,38156953,6.06596,6.4274,3.7927,1995,7089,thing,SeaFall,3,5,180,180,120,2016,"3,4",4,14+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
SEAL Team Flix,177515,5,9,0,0,0,0,0,0,0,0,0,3,,,,,,59481916,5.7995,7.58932,2.9286,3401,686,thing,SEAL Team Flix,1,4,120,120,45,2018,"1,2,3,4",2,14+,,,,,,,standalone,,,,,,,,,,,,,,,
SEAL Team Flix,177515,7,9,0,0,0,0,0,0,0,0,0,3,,,,,,59481917,5.7995,7.58932,2.9286,3401,686,thing,SEAL Team Flix,1,4,120,120,45,2018,"1,2,3,4",2,14+,,,,,,,standalone,,,,,,,,,,,,,,,
Seasons,108745,7.5,4,0,0,0,0,0,0,0,0,0,3,,,,,,17921274,7.27269,7.43563,2.774,183,21791,thing,Seasons,2,4,60,60,60,2012,"2,3,4",2,12+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
The Secret of Monte Cristo,90190,5.5,1,0,0,0,0,0,0,0,0,0,3,,,,,,14889730,5.70159,6.16487,2.375,4398,1065,thing,The Secret of Monte Cristo,2,4,60,60,60,2011,"2,3,4","2,4",8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Sentinels of the Multiverse,102652,6.5,1,0,0,0,0,0,0,0,0,0,3,,,,,,22252374,7.03725,7.26227,2.4949,323,19713,thing,Sentinels of the Multiverse,2,5,60,60,30,2011,"1,2,3,4,5",4,10+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
The Settlers of Catan,13,8,12,0,1,0,0,0,0,0,0,0,3,,,,,,8073792,7.02158,7.17989,2.3354,338,130645,thing,Catan,3,4,120,120,60,2003,"3,4",4,8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,Mayfair Games,English,2003,English third edition 2003 with color rules and card box
Shadows over Camelot,15062,7,4,0,0,0,0,0,0,1,0,0,1,,,,,,8522289,6.99778,7.12888,2.564,358,29594,thing,Shadows over Camelot,3,7,80,80,60,2005,"4,5,6,7","5,6,7",10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Shakespeare,180511,7.5,2,0,1,0,0,0,0,0,0,0,2,research more,,,,,29509920,6.89122,7.45699,3.0139,462,4661,thing,Shakespeare,1,4,90,90,20,2015,"2,3,4",3,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,Ystari Games,English,2015,English-only first edition
Sheriff of Nottingham,157969,7,6,0,1,0,0,0,0,0,0,0,4,bluffing/deduction/party,Needs to be played with the right people but is a fun bluffing game.,,,,26492196,7.06742,7.19355,1.6582,299,39304,thing,Sheriff of Nottingham,3,5,60,60,60,2014,"3,4,5",5,8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,Arcane Wonders,English,2014,English first edition
Shipyard,55600,6,1,0,0,0,0,0,0,0,0,0,3,,,,,,21612060,6.8579,7.36882,3.5036,498,4329,thing,Shipyard,2,4,120,120,120,2009,"2,3,4",,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Shogun,20551,3,,0,0,0,0,0,0,0,0,0,3,,,,,,8073789,7.31674,7.55171,3.3735,160,12112,thing,Shogun,3,5,120,120,90,2006,"3,4,5","4,5",12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Shogunate,183361,5,1,0,0,0,0,0,0,0,0,0,3,,,,,,56974864,5.57345,6.52164,1.6667,7682,482,thing,Shogunate,3,6,25,25,20,2016,"4,5,6","5,6",10+,,,,,,,standalone,,,,,,,,,,,,,,,
Sid Meier's Civilization: The Board Game,77130,0,,0,0,0,0,0,0,1,0,0,4,,,,,,16954089,7.21643,7.44478,3.8737,213,17937,thing,Sid Meier's Civilization: The Board Game,2,4,240,240,120,2010,"2,3,4",4,14+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Signorie,177678,7,2,0,0,0,0,0,0,1,0,0,2,requested from family for birthday,,,,,30751950,6.72225,7.4649,3.5659,657,2833,thing,Signorie,2,4,120,120,90,2015,"2,3,4",4,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,What's Your Game?,English,2015,English first edition
The Simpsons: LOSER Takes All!,5129,1,,0,0,0,0,0,0,0,0,0,3,,,,,,8105508,5.3715,3.89255,1.4,17643,300,thing,The Simpsons: LOSER Takes All!,2,6,30,30,30,2001,,,10+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
SiXeS,177877,7.5,9,0,0,0,0,0,0,0,0,1,3,,,,,,58960905,5.61671,7.22658,1,6057,434,thing,SiXeS,3,8,45,45,30,2016,6,6,,,,,,,,standalone,,,,,,,,,,,,,,,
Skull,92415,0,,0,0,0,0,0,0,0,0,0,3,,,,,,25498576,6.97774,7.1895,1.1429,381,15374,thing,Skull,3,6,45,45,45,2011,"3,4,5,6","5,6",8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Skyline,121423,5,2,0,0,0,0,0,0,0,0,0,3,,,,,,18922169,5.74748,6.008,1.2897,3887,1711,thing,Skyline,1,4,20,20,10,2012,"1,2,3,4","2,3",6+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Small World,40692,7.5,8,0,0,0,0,0,0,0,0,0,3,,,,,,8348076,7.20422,7.29104,2.3639,220,72475,thing,Small World,2,5,80,80,40,2009,"2,3,4,5",4,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Small World Underground,97786,7.5,1,0,1,1,0,0,0,0,0,0,3,,,,,,15492005,7.0216,7.29289,2.5899,337,14578,thing,Small World Underground,2,5,90,90,30,2011,"2,3,4,5",4,8+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Small World: Necromancer Island,84183,0,,0,1,1,0,0,0,0,0,0,1,,,,,,15793153,6.11022,6.72815,2.1786,0,7571,thing,Small World: Necromancer Island,3,6,80,80,40,2010,"3,4,5,6",,8+,No necessary in-game text,,,,,,expansion,,,,,,,,,,,,,,,
Smash Up,122522,6,2,0,0,0,0,0,0,0,0,0,3,,,,,,18097018,6.64152,6.78995,2.0576,740,35008,thing,Smash Up,2,4,45,45,45,2012,"2,3,4",3,10+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Sneaks & Snitches,55601,7,1,0,1,0,0,0,0,0,0,0,3,"""A better version of Adel Verplectecht.""

Christmas wish list.",A living embodiment of game theory (I want to do this... He knows I want to do this... So do I do it or do something else he wouldn't expect... But maybe he expects that and I should do what I really want to do anyway). ,,,,24553800,5.84089,6.32819,1.4167,3083,1181,thing,Sneaks & Snitches,2,5,20,20,20,2010,"2,3,4,5",4,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Snow Tails,38054,6,1,0,0,0,0,0,0,0,0,0,3,,,,,,9438258,6.70183,6.98175,2.0472,680,6203,thing,Snow Tails,2,5,60,60,45,2008,"2,3,4,5",5,10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Snowdonia,119432,6,1,0,0,0,0,0,0,1,0,0,1,,,,,,21749660,6.94894,7.4263,3.0075,406,4598,thing,Snowdonia,1,5,90,90,30,2012,"1,2,3,4,5",4,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Space Alert,38453,9,32,0,1,0,0,0,0,0,0,0,1,,,,,,8501018,7.26829,7.46173,2.9514,187,19272,thing,Space Alert,1,5,30,30,30,2008,"3,4,5","4,5",12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,Czech Games Edition,English,2008,English edition 2008
Space Alert: The New Frontier,61492,0,,0,1,0,0,0,0,0,0,0,2,,,,,,9440210,6.79507,8.49951,3.3548,0,4643,thing,Space Alert: The New Frontier,1,5,30,30,30,2010,"1,2,3,4,5","4,5",10+,Some necessary text - easily memorized or small crib sheet,,,,,,expansion,,,,,,,,,,,,,,,
Space Base,242302,7.5,1,0,0,0,0,0,0,0,0,0,3,,,,,,60205510,6.98421,7.47975,2.1098,373,6683,thing,Space Base,2,5,60,60,60,2018,"2,3,4,5","3,4",10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Space Cadets,123096,8,4,0,0,0,0,0,0,0,0,0,4,,"A lot to take in initially. Fun coop game which strives to eliminate a single player making all decisions. Truly, one inefficient teammate can make a significant impact. ",,,,17861427,6.27467,6.6201,2.741,1397,5562,thing,Space Cadets,3,6,120,120,60,2012,"3,4,5,6",5,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Space Cadets: Dice Duel,142079,6,2,0,0,0,0,0,0,0,0,0,3,,,,,,20911627,6.39759,6.82699,2.08,1133,4643,thing,Space Cadets: Dice Duel,4,8,30,30,30,2013,"4,6,7,8",8,10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Space Hulk (third edition),54625,7,11,0,1,0,0,0,0,0,0,0,2,,,,,,9138301,7.13626,7.54073,2.7879,261,9158,thing,Space Hulk (third edition),2,2,60,60,60,2009,2,2,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Space Hulk: Death Angel – The Card Game,71721,6.5,1,0,0,0,0,0,0,0,0,0,3,,,,,,11328156,6.79382,6.99096,2.416,577,20261,thing,Space Hulk: Death Angel – The Card Game,1,6,60,60,30,2010,"1,2,3,4,5,6",1,12+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Spirit Island,162886,9,1,0,0,0,0,0,0,0,0,0,3,,,,,,64789650,8.01924,8.33651,3.9229,14,20966,thing,Spirit Island,1,4,120,120,90,2017,"1,2,3,4",2,14+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Splendor,148228,8,22,0,1,0,0,0,0,0,0,0,3,Christmas wish list.,,,,,23220906,7.35727,7.46833,1.8061,143,66158,thing,Splendor,2,4,30,30,30,2014,"2,3,4",3,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Splendor: Cities of Splendor,220653,7.5,1,0,0,0,0,0,0,0,0,0,3,,,,,,59876938,6.65194,7.42785,2.2821,0,7946,thing,Splendor: Cities of Splendor,2,4,30,30,30,2017,"2,3,4",3,8+,No necessary in-game text,,,,,,expansion,,,,,,,,,,,,,,,
Spyfall,166384,6,17,0,0,0,0,0,0,0,0,0,3,,"Hugely group dependent.  If played with the right type group this game shines.  Requires open minded, creative people.  Easy for this game to fall flat with the wrong people.  I've seen people laughing so hard they cry and on the opposite end I've seen people look like a deer in headlights trying to answer or propose a question.",,,,29055648,6.83285,6.96193,1.247,523,22760,thing,Spyfall,3,8,15,15,15,2014,"4,5,6,7,8",6,12+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Spyfall 2,193308,6,1,0,0,0,0,0,0,0,0,0,3,,,,,,47056035,6.38286,7.10395,1.2727,1163,4181,thing,Spyfall 2,3,12,15,15,15,2017,"5,6,7,8,9,10,11,12","6,7",10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Star Realms,147020,7,,0,0,0,0,0,0,0,0,0,4,,,,,,24509216,7.46527,7.60378,1.9539,96,44276,thing,Star Realms,2,2,20,20,20,2014,2,2,8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Steam,27833,8.5,6,0,0,0,0,0,0,0,0,0,4,,Simple mechanics but deeply strategic.,,,,8502241,7.34313,7.6172,3.4574,151,9771,thing,Steam,3,5,90,90,90,2009,"3,4,5",4,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Steam Barons,56890,9,2,0,0,0,0,0,0,0,0,0,4,,,,,,12558702,6.09245,7.37199,3.5077,0,1853,thing,Steam Barons,2,6,120,120,120,2009,"2,3,4,5,6",4,14+,No necessary in-game text,,,,,,expansion,,,,,,,,,,,,,,,
Steam Park,121410,6.5,1,0,0,0,0,0,0,0,0,0,3,,,,,,22933294,6.61808,6.91484,2.098,778,7971,thing,Steam Park,2,4,60,60,60,2013,"2,3,4",4,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Stellar Conflict,179835,3.5,2,0,0,0,0,0,0,0,0,0,3,,,,,,35528108,5.88124,6.55361,1.3182,2829,1563,thing,Stellar Conflict,2,4,10,10,10,2015,"2,3,4",2,6+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Stockpile,161614,6.5,1,0,0,0,0,0,0,0,0,0,3,,,,,,31201480,7.05029,7.54149,2.0979,314,5447,thing,Stockpile,2,5,45,45,45,2015,"3,4,5","4,5",10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Stone Age,34635,7,1,0,0,0,0,0,0,0,0,0,3,,,,,,8081363,7.48509,7.59241,2.4871,91,42385,thing,Stone Age,2,4,90,90,60,2008,"2,3,4",4,10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Stratego,1917,5,1,0,0,0,0,0,0,0,0,0,3,,,,,,22933295,5.96123,6.07662,1.8567,2435,20809,thing,Stratego,2,2,45,45,45,1946,2,2,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Stronghold,45986,0,,0,0,0,0,0,0,0,0,0,1,,,,,,9543552,6.70444,7.19679,3.6856,675,4993,thing,Stronghold,2,4,120,120,120,2009,"2,3,4",2,14+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Stronghold (2nd edition),179460,8,2,0,0,0,0,0,0,0,0,0,3,,,,,,41478844,6.49482,7.59696,3.7308,957,2966,thing,Stronghold (2nd edition),2,2,90,90,90,2015,2,2,12+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
A Study in Emerald (second edition),178054,5,1,0,0,0,0,0,0,0,0,0,3,,,,,,40833099,6.38265,6.95973,2.9369,1164,3825,thing,A Study in Emerald (second edition),2,5,60,60,60,2015,"3,4,5","4,5",12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Subtext,265684,7,2,0,0,0,0,0,0,0,0,0,3,,,,,,64246962,5.57567,6.42083,1.3333,7563,202,thing,Subtext,4,8,40,40,20,2019,"5,6,7",6,,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Suburbia,123260,7,1,0,0,0,0,0,0,0,0,0,3,,"Fun city building game.  Can be hard to alter strategy as you attempt to build an infastructure but are reliant on ""luck of the draw"" as to what buildings you can place in your city.  ",,,,20134457,7.41202,7.55307,2.7737,114,23124,thing,Suburbia,1,4,90,90,90,2012,"1,2,3,4",3,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Summoner Wars,58281,7.5,4,0,0,0,0,0,0,0,0,0,3,,,,,,10648731,6.92171,7.28185,2.3051,434,5471,thing,Summoner Wars,2,4,60,60,30,2009,"2,4",2,8+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Sunrise City,97357,7,1,0,0,0,0,0,0,0,0,0,3,,,,,,23402941,5.9982,6.66149,2.3288,2272,1507,thing,Sunrise City,2,4,60,60,60,2012,"2,3,4",4,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Super Motherload,162286,0,,0,0,0,0,0,0,0,0,0,4,,,,,,23984205,6.82575,7.43203,2.2871,532,4000,thing,Super Motherload,2,4,75,75,60,2015,"2,3,4",2,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Survive: Escape from Atlantis!,2653,8,12,0,1,0,0,0,0,0,0,0,1,,Accessible to all gamer types.  More cutthroat than a traditional family game.  ,,,,14242744,7.1441,7.30597,1.7099,255,25748,thing,Survive: Escape from Atlantis!,2,4,60,60,45,1982,"2,3,4",4,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Survive: Escape from Atlantis! The Giant Squid Mini Expansion,85990,0,,0,0,0,0,0,0,0,0,0,1,,,,,,15102355,6.30451,7.07828,1.4833,0,5514,thing,Survive: Escape from Atlantis! The Giant Squid Mini Expansion,2,4,60,60,60,2010,"2,3,4",4,8+,No necessary in-game text,,,,,,expansion,,,,,,,,,,,,,,,
T.I.M.E Stories,146508,6,1,0,0,0,0,0,0,0,0,0,3,,,,,,45172673,7.52291,7.70664,2.6167,80,30277,thing,T.I.M.E Stories,2,4,90,90,90,2015,"3,4",4,14+,Unplayable in another language,,,,,,standalone,,,,,,,,,,,,,,,
T.I.M.E Stories: The Marcy Case,180585,5,1,0,0,0,0,0,0,0,0,0,3,,,,,,47354234,7.21134,7.658,2.6216,0,12987,thing,T.I.M.E Stories: The Marcy Case,2,4,90,90,60,2015,"2,3,4",4,12+,Unplayable in another language,,,,,,expansion,,,,,,,,,,,,,,,
Ta-Da!,203716,5.5,3,0,0,0,0,0,0,0,0,0,3,,,,,,44171406,5.58289,6.25684,1,7267,413,thing,Ta-Da!,2,6,15,15,10,2016,"3,4,5,6","4,6",6,,,,,,,standalone,,,,,,,,,,,,,,,
Taj Mahal,475,7,2,0,1,0,0,0,0,0,0,0,4,,,,,,8073793,6.9922,7.30181,2.9947,364,7777,thing,Taj Mahal,3,5,100,100,75,2000,"3,4,5",4,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Takenoko,70919,6,,0,0,0,0,0,0,0,0,0,3,,,,,,46512233,7.16809,7.29687,1.9789,242,44149,thing,Takenoko,2,4,45,45,45,2011,"2,3,4",3,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Tales & Games: The Hare & the Tortoise,130176,0,,0,0,0,0,0,0,0,0,1,4,Possible game for boys when they get older.  Manf suggested 7+.,,,,,53958932,6.62555,7.10234,1.3983,768,5611,thing,Tales & Games: The Hare & the Tortoise,2,5,20,20,15,2011,"2,3,4,5",4,6+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Tales of the Arabian Nights,34119,5.5,2,0,0,0,0,0,0,1,0,0,3,,,,,,8502204,6.98914,7.22181,2.1584,370,15692,thing,Tales of the Arabian Nights,1,6,120,120,120,2009,"2,3,4",3,12+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
